county_name,pop_2026_est,citizens_at_risk_2026,compound_disruption_rate,mean_pred_risk,CACI_score,CACI_tier,urgency_score,urgency_tier,quadrant,primary_intervention
Isiolo,314244,60973,0.19402985074626866,0.2755750174340936,0.76644549,High/Frontier,0.29313803151908896,Moderate,Q3: PREVENTATIVE,Structural Capacity Building (Pre-Crisis Investment)
Mandera,1017132,135483,0.13320079522862824,0.2214216640040435,0.65032299,Moderate,0.29128934380992055,Moderate,Q3: PREVENTATIVE,Structural Capacity Building (Pre-Crisis Investment)
Samburu,363872,109618,0.301255230125523,0.33978576771095537,1.0,High/Frontier,0.2643952467414047,Moderate,Q4: BEST PRACTICE,Best Practice Knowledge Sharing + Sustain
Embu,713610,189827,0.2660098522167488,0.352090368096612,1.0,High/Frontier,0.25323360745303247,Moderate,Q4: BEST PRACTICE,Best Practice Knowledge Sharing + Sustain
Kisumu,1354962,352412,0.2600896860986547,0.3066474274036075,1.0,High/Frontier,0.22505587803063087,Low,Q4: BEST PRACTICE,Best Practice Knowledge Sharing + Sustain
Marsabit,539118,129528,0.24025974025974026,0.3055582515528755,1.0,High/Frontier,0.21434032585694118,Low,Q4: BEST PRACTICE,Best Practice Knowledge Sharing + Sustain
Tharaka-Nithi,461018,107402,0.23296703296703297,0.3059756344630477,1.0,High/Frontier,0.21085238739244103,Low,Q4: BEST PRACTICE,Best Practice Knowledge Sharing + Sustain
Machakos,1667279,226620,0.13592233009708737,0.23074902159142258,0.94301473,High/Frontier,0.14874363757821063,Low,Q3: PREVENTATIVE,Structural Capacity Building (Pre-Crisis Investment)
Kericho,1057374,177948,0.16829268292682928,0.25091976697560103,1.0,High/Frontier,0.14739014269341616,Low,Q4: BEST PRACTICE,Best Practice Knowledge Sharing + Sustain
West Pokot,728433,139487,0.19148936170212766,0.21853223638784736,1.0,High/Frontier,0.14128883422047375,Low,Q4: BEST PRACTICE,Best Practice Knowledge Sharing + Sustain
Nyamira,710065,109987,0.1548974943052392,0.23935366169199349,1.0,High/Frontier,0.13415572011116572,Low,Q4: BEST PRACTICE,Best Practice Knowledge Sharing + Sustain
Bomet,1026785,177619,0.17298578199052134,0.22068791182217934,1.0,High/Frontier,0.133046133534798,Low,Q4: BEST PRACTICE,Best Practice Knowledge Sharing + Sustain
Wajir,916066,140933,0.15384615384615385,0.23430733596494627,1.0,High/Frontier,0.1308257680182759,Low,Q4: BEST PRACTICE,Best Practice Knowledge Sharing + Sustain
Turkana,1086921,124051,0.11413043478260869,0.18258134747208607,1.0,High/Frontier,0.08193504268847962,Low,Q4: BEST PRACTICE,Best Practice Knowledge Sharing + Sustain
Bungoma,1958818,101757,0.05194805194805195,0.15451652835175975,1.0,High/Frontier,0.034686715159486924,Low,Q4: BEST PRACTICE,Best Practice Knowledge Sharing + Sustain
Homa Bay,1327262,97500,0.07345971563981042,0.12406566322430433,1.0,High/Frontier,0.02879831013147281,Low,Q4: BEST PRACTICE,Best Practice Knowledge Sharing + Sustain
Garissa,986524,71671,0.07264957264957266,0.12027970026751689,1.0,High/Frontier,0.02628913696108346,Low,Q4: BEST PRACTICE,Best Practice Knowledge Sharing + Sustain
Kisii,1485450,110681,0.07450980392156863,0.09186349709321742,1.0,High/Frontier,0.011505671277528436,Low,Q4: BEST PRACTICE,Best Practice Knowledge Sharing + Sustain
